protocol,seed,depth,gradient_norm,direct_loss_drop,shuffled_loss_drop,existing_cosine,oracle_cosine,existing_sign_agreement,oracle_sign_agreement
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,6,4.040990829,0.016996652,-0.003575808,0.549627304,0.894444764,0.617675781,0.924316406
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,6,4.175783157,0.018267820,-0.005080340,0.552780986,0.890699744,0.570800781,0.920410156
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,6,3.990965366,0.016755052,-0.004395489,0.573845029,0.887595117,0.618164062,0.943359375
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,7,4.976924896,0.025497941,-0.007677284,0.535994411,0.923424244,0.611328125,0.947265625
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,7,4.488268852,0.021059817,-0.004935183,0.572330534,0.880291402,0.612792969,0.941894531
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,7,4.777643204,0.023735264,-0.006696312,0.552026808,0.919136941,0.657714844,0.954589844
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,7,4.574148178,0.021709191,-0.005407102,0.564285278,0.906659424,0.593261719,0.947753906
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,7,4.950256348,0.025489215,-0.007129075,0.532444060,0.892498255,0.590332031,0.926269531
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,7,4.678439617,0.022807617,-0.006128129,0.549415708,0.898316264,0.603515625,0.959960938
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,7,4.571404934,0.021825502,-0.005302812,0.572046220,0.921460748,0.616699219,0.956542969
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,7,4.641382694,0.022363061,-0.005762820,0.545303583,0.880953252,0.614257812,0.952148438
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,8,5.391777992,0.030139796,-0.006428878,0.542811215,0.916507363,0.614257812,0.946289062
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,8,5.248912334,0.028931873,-0.007549538,0.565960407,0.917531729,0.615722656,0.949707031
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,8,5.735153675,0.034081124,-0.008327373,0.537838697,0.920957446,0.651855469,0.957519531
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,8,5.560972691,0.032137528,-0.009029347,0.529029906,0.915711105,0.640625000,0.924804688
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,8,5.632598400,0.032621283,-0.008691949,0.533147633,0.908230066,0.629882812,0.949218750
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,8,5.465693951,0.030903751,-0.006311573,0.543919981,0.909174144,0.627929688,0.946289062
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,8,5.466983318,0.031038444,-0.008729667,0.543976128,0.907035291,0.662597656,0.953613281
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,8,5.478444099,0.030944105,-0.008167772,0.546297312,0.915466130,0.645019531,0.975097656
