variant,n_states,connectivity,seed,depth,budget,learning_rate,temperature,arm,accuracy,measured_nnz,test_weights_unchanged
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.035000,hard,direct-terminal,0.530000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.035000,2.0000,direct-terminal,0.937500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.035000,1.0000,direct-terminal,0.937500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.035000,hard,direct-terminal,0.580000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,960,0.035000,hard,direct-terminal,0.557500,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,6869996990457277544,2,960,0.035000,hard,direct-terminal,0.612500,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,960,0.035000,2.0000,direct-terminal,0.737500,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,960,0.035000,1.0000,direct-terminal,0.797500,32,true
baseline-dense-d1-8-s4,4,dense,18234682480328173695,2,960,0.035000,hard,direct-terminal,0.605000,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,960,0.035000,soft,direct-terminal,0.847500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,960,0.035000,2.0000,direct-terminal,0.662500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,960,0.035000,1.0000,direct-terminal,0.662500,32,true
baseline-dense-d1-8-s4,4,dense,2001310518681822354,2,960,0.035000,hard,direct-terminal,0.592500,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,960,0.035000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,960,0.035000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,960,0.035000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,13400896689310720169,2,960,0.035000,hard,direct-terminal,0.637500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,960,0.070000,hard,direct-terminal,0.550000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,960,0.070000,hard,direct-terminal,0.572500,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.070000,2.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.070000,1.0000,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,10584633876018000958,2,960,0.070000,hard,direct-terminal,0.672500,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,960,0.070000,soft,direct-terminal,1.000000,32,true
baseline-dense-d1-8-s4,4,dense,3503703373795356757,2,960,0.070000,2.0000,direct-terminal,1.000000,32,true
