protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,92e43d7e329b743e,3,2.407540321,0.005897942,-0.002092035,0.001958787,-0.000686449,0.419359624,0.419359654,0.000000201,0.000000149,0.542480469,0.556152344,0.053955078,0.233630866
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,309fb6b7b26df055,3,2.433517456,0.006032704,-0.002152223,0.002017056,-0.000748393,0.421912730,0.421912760,0.000000201,0.000000152,0.542968750,0.560546875,0.052734375,0.233466595
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,5f5730cd33306c68,3,2.450672150,0.006122178,-0.002331190,0.002084983,-0.000770140,0.428759843,0.428759843,0.000000200,0.000000153,0.545410156,0.561035156,0.052001953,0.233162135
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,fd0e8a0ab4fae87f,3,2.371698856,0.005716794,-0.002091769,0.001900347,-0.000690702,0.412316620,0.412316591,0.000000200,0.000000145,0.553955078,0.553466797,0.055175781,0.232572794
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1bc60440344d6492,3,2.420979500,0.005970246,-0.002138543,0.001985642,-0.000696520,0.418940783,0.418940812,0.000000201,0.000000151,0.552246094,0.559082031,0.053222656,0.232880875
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,b9f99d99b517e0a9,3,2.356707573,0.005640834,-0.002116555,0.001881493,-0.000712898,0.407719016,0.407718986,0.000000202,0.000000144,0.573242188,0.552734375,0.055908203,0.233495012
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c7b117d736da5cbc,3,2.394965649,0.005835827,-0.002254357,0.001914954,-0.000764815,0.428919345,0.428919345,0.000000194,0.000000146,0.544921875,0.549804688,0.054443359,0.233726487
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,6668916cb7acd8d3,3,2.387738228,0.005795876,-0.002124385,0.001935023,-0.000708264,0.423798233,0.423798263,0.000000197,0.000000146,0.562988281,0.550781250,0.054687500,0.232817709
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,84206aaa377754e6,3,2.411552668,0.005920712,-0.002140813,0.001965749,-0.000705855,0.429875284,0.429875314,0.000000195,0.000000148,0.578125000,0.552734375,0.053710938,0.233335719
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,22dbe4e3b839d0fd,3,2.393237829,0.005826119,-0.002146010,0.001912247,-0.000692536,0.429330498,0.429330468,0.000000194,0.000000146,0.559570312,0.549804688,0.054443359,0.233946741
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,40937e39398c4d10,3,2.380022049,0.005759004,-0.002113697,0.001880470,-0.000718904,0.415597171,0.415597200,0.000000199,0.000000146,0.557861328,0.552978516,0.054931641,0.233467594
