seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
12336995258221445457,1,480,0.035000,2.0000,direct-terminal,1.000000,true
12336995258221445457,1,480,0.035000,1.0000,direct-terminal,1.000000,true
12336995258221445457,1,480,0.035000,0.5000,direct-terminal,1.000000,true
12336995258221445457,1,480,0.035000,0.2500,direct-terminal,1.000000,true
12336995258221445457,1,480,0.035000,0.1000,direct-terminal,1.000000,true
12336995258221445457,1,480,0.035000,hard,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,soft,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,2.0000,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,1.0000,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,0.5000,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,0.2500,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,0.1000,direct-terminal,1.000000,true
14550357526309911908,1,480,0.035000,hard,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,soft,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,2.0000,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,1.0000,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,0.5000,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,0.2500,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,0.1000,direct-terminal,1.000000,true
6315413713023973755,1,480,0.035000,hard,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,soft,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,2.0000,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,1.0000,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,0.5000,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,0.2500,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,0.1000,direct-terminal,1.000000,true
17752165541379257742,1,480,0.035000,hard,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,soft,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,2.0000,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,1.0000,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,0.5000,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,0.2500,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,0.1000,direct-terminal,1.000000,true
1447861344392032677,1,480,0.035000,hard,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,soft,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,2.0000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,1.0000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,0.5000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,0.2500,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,0.1000,direct-terminal,1.000000,true
15453308257587330068,1,480,0.070000,hard,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,soft,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,2.0000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,1.0000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,0.5000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,0.2500,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,0.1000,direct-terminal,1.000000,true
8371249665055979563,1,480,0.070000,hard,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,soft,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,2.0000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,1.0000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,0.5000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,0.2500,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,0.1000,direct-terminal,1.000000,true
10584648148176565310,1,480,0.070000,hard,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,soft,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,2.0000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,1.0000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,0.5000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,0.2500,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,0.1000,direct-terminal,1.000000,true
3503715438342828117,1,480,0.070000,hard,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,soft,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,2.0000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,1.0000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,0.5000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,0.2500,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,0.1000,direct-terminal,1.000000,true
6870017868308966504,1,480,0.070000,hard,direct-terminal,1.000000,true
18234668199544023167,1,480,0.070000,soft,direct-terminal,1.000000,true
18234668199544023167,1,480,0.070000,2.0000,direct-terminal,1.000000,true
18234668199544023167,1,480,0.070000,1.0000,direct-terminal,1.000000,true
