seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
15453308257587330068,5,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,5,240,0.035000,soft,shuffled-label,0.187500,true
15453308257587330068,5,240,0.035000,1.0000,shuffled-label,0.250000,true
15453308257587330068,5,240,0.035000,hard,shuffled-label,0.137500,true
8371249665055979563,5,240,0.035000,soft,privileged-intermediate-target,1.000000,true
8371249665055979563,5,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,5,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,5,240,0.035000,soft,shuffled-label,0.218750,true
8371249665055979563,5,240,0.035000,1.0000,shuffled-label,0.193750,true
8371249665055979563,5,240,0.035000,hard,shuffled-label,0.131250,true
10584648148176565310,5,240,0.035000,soft,privileged-intermediate-target,1.000000,true
10584648148176565310,5,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,5,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,5,240,0.035000,soft,shuffled-label,0.262500,true
10584648148176565310,5,240,0.035000,1.0000,shuffled-label,0.306250,true
10584648148176565310,5,240,0.035000,hard,shuffled-label,0.143750,true
15453308257587330068,6,240,0.035000,soft,privileged-intermediate-target,1.000000,true
15453308257587330068,6,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
15453308257587330068,6,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,6,240,0.035000,soft,shuffled-label,0.218750,true
15453308257587330068,6,240,0.035000,1.0000,shuffled-label,0.268750,true
15453308257587330068,6,240,0.035000,hard,shuffled-label,0.225000,true
8371249665055979563,6,240,0.035000,soft,privileged-intermediate-target,1.000000,true
8371249665055979563,6,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,6,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,6,240,0.035000,soft,shuffled-label,0.262500,true
8371249665055979563,6,240,0.035000,1.0000,shuffled-label,0.243750,true
8371249665055979563,6,240,0.035000,hard,shuffled-label,0.318750,true
10584648148176565310,6,240,0.035000,soft,privileged-intermediate-target,1.000000,true
10584648148176565310,6,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,6,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,6,240,0.035000,soft,shuffled-label,0.343750,true
10584648148176565310,6,240,0.035000,1.0000,shuffled-label,0.300000,true
10584648148176565310,6,240,0.035000,hard,shuffled-label,0.350000,true
15453308257587330068,7,240,0.035000,soft,privileged-intermediate-target,0.993750,true
15453308257587330068,7,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
15453308257587330068,7,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,7,240,0.035000,soft,shuffled-label,0.218750,true
15453308257587330068,7,240,0.035000,1.0000,shuffled-label,0.331250,true
15453308257587330068,7,240,0.035000,hard,shuffled-label,0.281250,true
8371249665055979563,7,240,0.035000,soft,privileged-intermediate-target,0.981250,true
8371249665055979563,7,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,7,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,7,240,0.035000,soft,shuffled-label,0.318750,true
8371249665055979563,7,240,0.035000,1.0000,shuffled-label,0.287500,true
8371249665055979563,7,240,0.035000,hard,shuffled-label,0.293750,true
10584648148176565310,7,240,0.035000,soft,privileged-intermediate-target,1.000000,true
10584648148176565310,7,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,7,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,7,240,0.035000,soft,shuffled-label,0.275000,true
10584648148176565310,7,240,0.035000,1.0000,shuffled-label,0.268750,true
10584648148176565310,7,240,0.035000,hard,shuffled-label,0.293750,true
15453308257587330068,8,240,0.035000,soft,privileged-intermediate-target,1.000000,true
15453308257587330068,8,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
15453308257587330068,8,240,0.035000,hard,privileged-intermediate-target,1.000000,true
15453308257587330068,8,240,0.035000,soft,shuffled-label,0.243750,true
15453308257587330068,8,240,0.035000,1.0000,shuffled-label,0.262500,true
15453308257587330068,8,240,0.035000,hard,shuffled-label,0.218750,true
8371249665055979563,8,240,0.035000,soft,privileged-intermediate-target,0.987500,true
8371249665055979563,8,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
8371249665055979563,8,240,0.035000,hard,privileged-intermediate-target,1.000000,true
8371249665055979563,8,240,0.035000,soft,shuffled-label,0.250000,true
8371249665055979563,8,240,0.035000,1.0000,shuffled-label,0.287500,true
8371249665055979563,8,240,0.035000,hard,shuffled-label,0.237500,true
10584648148176565310,8,240,0.035000,soft,privileged-intermediate-target,0.993750,true
10584648148176565310,8,240,0.035000,1.0000,privileged-intermediate-target,1.000000,true
10584648148176565310,8,240,0.035000,hard,privileged-intermediate-target,1.000000,true
10584648148176565310,8,240,0.035000,soft,shuffled-label,0.237500,true
10584648148176565310,8,240,0.035000,1.0000,shuffled-label,0.250000,true
10584648148176565310,8,240,0.035000,hard,shuffled-label,0.243750,true
