seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
8371249665055979563,2,2.0000,1.647373,0.002854,-0.000622,0.000073,-0.000020
8371249665055979563,2,1.0000,1.647373,0.002854,-0.000622,0.000211,-0.000052
8371249665055979563,2,0.5000,1.647373,0.002854,-0.000622,0.000557,-0.000093
8371249665055979563,2,0.2500,1.647373,0.002854,-0.000622,0.000275,-0.000026
8371249665055979563,2,0.1000,1.647373,0.002854,-0.000622,0.000001,-0.000000
8371249665055979563,2,hard,1.647373,0.002854,-0.000622,0.000000,0.000000
10584648148176565310,2,soft,1.626854,0.002778,-0.000605,0.002778,-0.000605
10584648148176565310,2,2.0000,1.626854,0.002778,-0.000605,0.000071,-0.000020
10584648148176565310,2,1.0000,1.626854,0.002778,-0.000605,0.000205,-0.000051
10584648148176565310,2,0.5000,1.626854,0.002778,-0.000605,0.000542,-0.000091
10584648148176565310,2,0.2500,1.626854,0.002778,-0.000605,0.000271,-0.000024
10584648148176565310,2,0.1000,1.626854,0.002778,-0.000605,0.000001,-0.000000
10584648148176565310,2,hard,1.626854,0.002778,-0.000605,0.000000,0.000000
3503715438342828117,2,soft,1.677213,0.002954,-0.000616,0.002954,-0.000616
3503715438342828117,2,2.0000,1.677213,0.002954,-0.000616,0.000075,-0.000020
3503715438342828117,2,1.0000,1.677213,0.002954,-0.000616,0.000218,-0.000052
3503715438342828117,2,0.5000,1.677213,0.002954,-0.000616,0.000576,-0.000101
3503715438342828117,2,0.2500,1.677213,0.002954,-0.000616,0.000283,-0.000035
3503715438342828117,2,0.1000,1.677213,0.002954,-0.000616,0.000001,-0.000000
3503715438342828117,2,hard,1.677213,0.002954,-0.000616,0.000000,0.000000
6870017868308966504,2,soft,1.588166,0.002693,-0.000559,0.002693,-0.000559
6870017868308966504,2,2.0000,1.588166,0.002693,-0.000559,0.000070,-0.000018
6870017868308966504,2,1.0000,1.588166,0.002693,-0.000559,0.000204,-0.000048
6870017868308966504,2,0.5000,1.588166,0.002693,-0.000559,0.000545,-0.000104
6870017868308966504,2,0.2500,1.588166,0.002693,-0.000559,0.000267,-0.000041
6870017868308966504,2,0.1000,1.588166,0.002693,-0.000559,0.000001,-0.000000
6870017868308966504,2,hard,1.588166,0.002693,-0.000559,0.000000,0.000000
18234668199544023167,2,soft,1.641254,0.002833,-0.000622,0.002833,-0.000622
18234668199544023167,2,2.0000,1.641254,0.002833,-0.000622,0.000072,-0.000021
18234668199544023167,2,1.0000,1.641254,0.002833,-0.000622,0.000208,-0.000052
18234668199544023167,2,0.5000,1.641254,0.002833,-0.000622,0.000551,-0.000089
18234668199544023167,2,0.2500,1.641254,0.002833,-0.000622,0.000271,-0.000021
18234668199544023167,2,0.1000,1.641254,0.002833,-0.000622,0.000001,-0.000000
18234668199544023167,2,hard,1.641254,0.002833,-0.000622,0.000000,0.000000
2001287458986747026,2,soft,1.619249,0.002786,-0.000633,0.002786,-0.000633
2001287458986747026,2,2.0000,1.619249,0.002786,-0.000633,0.000072,-0.000021
2001287458986747026,2,1.0000,1.619249,0.002786,-0.000633,0.000209,-0.000053
2001287458986747026,2,0.5000,1.619249,0.002786,-0.000633,0.000557,-0.000098
2001287458986747026,2,0.2500,1.619249,0.002786,-0.000633,0.000273,-0.000027
2001287458986747026,2,0.1000,1.619249,0.002786,-0.000633,0.000001,-0.000000
2001287458986747026,2,hard,1.619249,0.002786,-0.000633,0.000000,0.000000
13400911004452511913,2,soft,1.618062,0.002765,-0.000594,0.002765,-0.000594
